COSING Ref No;INCI name;Function
94753;  DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE;SKIN PROTECTING
94896; (LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT ;SKIN CONDITIONING
95645; ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER;PLASTICISER
96229; ASTROCARYUM VULGARE SEED BUTTER ;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
89177; BARLEY SH-POLYPEPTIDE-17 ;HAIR CONDITIONING, SKIN CONDITIONING
98580; DAUCUS CAROTA SATIVA LEAF EXTRACT ;SKIN CONDITIONING - MISCELLANEOUS
89078; GOSSYPIUM HIRSUTUM SEED EXTRACT;SKIN CONDITIONING
96248; HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT;SKIN CONDITIONING
98578; HYDROLYZED BEE LARVA EXTRACT;SKIN CONDITIONING - EMOLLIENT
96252; HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT ;SKIN PROTECTING
80077; ICTASOL;ANTI-SEBORRHEIC, ANTIMICROBIAL
88652; ISOOCTANOYL TETRAPEPTIDE-25 ;SKIN CONDITIONING
89204; LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE;
96276; METHOXYETHANOL;SOLVENT, VISCOSITY CONTROLLING
96270; MYRISTOYL GLYCINE/HISTIDINE/LYSINE POLYPEPTIDE;SKIN CONDITIONING
89819; NONAPEPTIDE-11 ;ANTI-SEBUM, SKIN PROTECTING
96278; PENTACLETHRA MACROPHYLLA SEED OIL;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
94754; TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE BIS-CARBOXYMETHYL FORMYLAMINE;SKIN PROTECTING
98158;(20S)-PROTOPANAXADIOL;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
96986;(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT;ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING
90118;(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
89285;(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT;
89686;(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER;HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING
90764;(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT;ANTI-SEBORRHEIC, ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING
