COSING Ref No;INCI name;Function
94753; FORMILPROLINATO DE TETRAMETIL-HEXADECENILCISTEÍNA DISSÓDICA;PROTEÇÃO DA PELE
94896; (LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUTA/EXTRATO DE RAIZ DE PAEONIA LACTIFLORA;CONDICIONAMENTO DA PELE
95645; COPOLÍMERO DE ACRILATOS/VA/NEODECANOATO DE VINILA;PLASTIFICADOR
96229; MANTEIGA DE SEMENTES DE ASTROCARYUM VULGARE;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
89177; CEVADA SH-POLIPEPTÍDEO-17;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
98580; EXTRATO DE FOLHA DE CENOURA SATIVA DE DAUCUS;CONDICIONAMENTO DA PELE - DIVERSOS
89078; EXTRATO DE SEMENTE DE GOSSYPIUM HIRSUTUM;CONDICIONAMENTO DA PELE
96248; HIDROLISADO (LARANJA AMARGA LIMÃO /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUTA/FOLHA DE MENTHA ARVENSIS/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA/PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS RAIZ) EXTRATO;CONDICIONAMENTO DA PELE
98578; EXTRATO DE LARVA DE ABELHA HIDROLISADO;CONDICIONAMENTO DA PELE - EMOLIENTE
96252; FRUTA HIDROLISADA DE FORSYTHIA VIRIDISSIMA/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA/PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) EXTRATO DE RAIZ;PROTEÇÃO DA PELE
80077; ICTÁSOL;ANTI-SEBORREICO, ANTIMICROBIANO
88652; ISOOCTANOIL TETRAPEPTÍDEO-25;CONDICIONAMENTO DA PELE
89204; FILTRADO DE FERMENTO DE SOJA GERMINADA/LACTOBACILLUS;dentro
96276; METOXIETANOL;SOLVENTE, CONTROLE DE VISCOSIDADE
96270; POLIPEPTÍDEO DE MIRISTOIL GLICINA/HISTIDINA/LISINA;CONDICIONAMENTO DA PELE
89819; NONAPEPTÍDEO-11;ANTI-SEBO, PROTETOR DA PELE
96278; ÓLEO DE SEMENTE DE PENTACLETRA MACROPHYLLA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
94754; TETRAMETIL-HEXADECENILCISTEÍNA TRISSÓDICA BIS-CARBOXIMETIL FORMILAMINA;PROTEÇÃO DA PELE
98158;(20S)-PROTOPANAXADIOL;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, PROTEÇÃO DA PELE
96986;(FERMENTO DE AGARICUS BLAZEI + FERMENTO DE GANODERMA LUCIDUM + FERMENTO DE GANODERMA MULTIPILEUM) EXTRATO;ANTI-SEBO, ANTIOXIDANTE, PROTETOR DA PELE
90118;(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) RAIZ/EXTRATO DE RIZOMA OFICIAL DE CNIDIUM;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
89285;(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) RAIZ/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RIZOMA/GARDENIA JASMINOIDES FRUTO/EXTRATO DE CASCA DE PHELLODENDRON CHINENSE;dentro
89686;(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA RAIZ)/ANGELICA GIGAS STEM/FLOR DE TINTURA DE SAFFOOT/(TINTOR DE SAFFOOT/SEMENTE DE AMEIXA DE PÊSSEGO) ÁGUA DE COCO PORIA;UMECTANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
90764;(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) FOLHA/TRONCO/CASCA DE CANELA CASSIA/TRICHOSANTES KIRILOWII FRUTA/ELM DAVIDIANA CASCA/RAIZ/(PAEONIA JAPONICA/BUPLEURUM FALACTUM/POLYGALA TENUIFOLIA RAIZ)/EXTRATO DE HASTE DE VISCUSÃO BRANCA;ANTISEBORREICO, ANTI-SEBO, ANTIOXIDANTE, PROTETOR DA PELE
96659;(MAÇÃ/CITRUS JUNOS/LENTILHA/PERA/ABÓBORA/MORANGO/FRUTA DE TOMATE)/NÚMERO DE MILHO/(ARCTIUM LAPPA/REPOLHO OLERACEA ACEPHALA/REPOLHO/CAMELLIA SINENSIS/MORINGA OLEIFERA/RABANETE/FOLHA DE ESPINAFRE)/(SORGO BICOLOR FOLHA/TRONCO )/FAREA DE AVEIA/POLPA DE BATATA/(CENOURA/NELUMBO NUCIFERA/RABANETE/RAIZ DE YAM SELVAGEM)/(AMARANTHUS HYPOCHONDRIACUS/CAJU/CHICPER ARIETINUM/COIX LACRYMMA-JOBI MA-YUENÂ /MACADAMIA TERNIFOLIA/FEIJÃO ANGULAR/PISTACIA VERA/RHYNCHOSIA NULUBILIS/ ARROZ / GERGELIM / SETARIA ITALIANA / SOJA / AMÊNDOA DOCE / SEMENTE DE TRIGO) / BARLEUM VULGARE SPROUT / TUBER ASSADO DE CIPRESTE / ARTEMISIA PRINCESS / BROCCOLI / CHENOPODIUM QUINOA / ENTEROMORPHA COMPRESSA / BARLEUM VULGARE / HYPOMOEA BATATAS / LAMINARIA JAPONICA / LENTINUS / PLEUR OTUS OSTREATUS/ EXTRATO DE PORPHYRA TENDERA/PINNATIFIDA;ANTIOXIDANTE
98655;(ARTCIUM LAPPA/CENOURA/COLOCASIA ESCULENTA/DIOSCORE BATATAS/ALHO/GENGIBRE/IPOMOEA BATATAS/NELUMBO NUCIFERA/CEBOLA/BULBOS DE BATATA)/(CASTANHA/CITRUS UNSHIU/BERINGELA/FIG/UVA/KIWI/LYCOPERISCON ESCULENTA/MALU PUMILA/MUME /PÊSSEGO/AMEIXA/ABÓBORA/PYRUS SEROTINA/RABANETE/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/REPOLHO OLERACEA ACEPHALA/REPOLHO/AIPO/SACCHARNA JAPONICA/UNDARIA PINNATIFIDA FOLHA)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRIMIDO/ OENANTHE JAVANICA STALK)/LENTILHAS COMESTÍVEIS/FILTRATO DE FERMENTO DE SACAROSA;HUMECTANTE, CONDICIONADOR DA PELE - HUMECTANTE, PROTETOR DA PELE
96118;(ASPERGILLUS/SACCHAROMYCES)/FERMENTO DE ARROZ/FARINHA DE CEVADA/EXTRATO DE FLOR DE NELUMBO NUCIFERA EXTRATO DE FERMENTO FILTRADO;BRANQUEAMENTO
98651;(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (ALCAÇUZ)/PANAX GINSENG) RAIZ/SEMENTE DE AMOMUM XANTHIOIDES/HORDEUM VULGARE SPROUT/ARALIA CORDATA/EXTRATO DE ACHIRANTHES JAPONICA;CONDICIONAMENTO DA PELE - DIVERSOS
96671;(FLOR BIDENS TRIPARTITA/FOLHA/TRONCO)/FOLHA PERILLA FRUTESCENS/EXTRATO DE PRUNELLA VULGARIS;CONDICIONAMENTO DA PELE
96818;(BIFIDOBACTERIUM/POLISORBATO 80 FERMENTO + LACTOBACILLUS/POLISORBATO 80 FERMENTO) FILTRADO DE LISADO;CONDICIONAMENTO DA PELE
97166;(BRÓCOLOS/ERUCA SATIVA/LEPIDIUM SATIVA/NASTURTIUM OFFICINAL/RABANETE) EXTRATO DE SPROUT;CONDICIONAMENTO DA PELE, PROTEÇÃO DA PELE
94110;(CALÊNDULA OFFICINALIS/FLOR DE CÁRTAMO)/(FLOR/FOLHA/CAPA DE ACHILLEA MILLEFOLIUM)/(VACCINIUM MYRTILLUS/FRUTO DE VITEX AGNUS-CASTUS)/GALL DE RHUS CHINENSIS/CASCA DE NOZ/(CAMELLIA SINENSIS/FOLHA DE URTIGA)/(FOLHA/CAPA DE JUNIPERUS COMMUNIS)/CASTANHA-DA-ÍNDIA/RAIZ DE DICHROA FEBRIFUGA/SEMENTE DE UVA/MADEIRA DE ACACIA CATECHU/GOLDENROD/EXTRATO DE HYPERICUM PERFORATUM;TINTURA DE CABELO
94144;(CAMELLIA JAPONICA/PRUNUS MUME/FLOR DE CÁRTAMO)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/FRUTO DE EUTERPE OLERACEA)/FOLHA DE CAMELLIA SINENSIS/CASCA DE GARCINIA MANGOSTANA/SEMENTE DE CAFÉ/PRÓPOLIS/EXTRATO DE VINHO;CONDICIONAMENTO DA PELE
94450;(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA FOLHA/(CITRUS HYSTRIX FOLHA/CASCA)/(CITRONELLA/ CYMBOPOGON SCHOENANTHUS /OCIMUM TENUIFLORUM FOLHA/TRONCO)/(ALPINIA GALANGA/BOESENBER GIA ROTUNDA /GENGIBRE/RIZOMA DE CÚRCUMA)/EXTRATO DE RAIZ ZINGIBER CASSUMUNAR;CONDICIONAMENTO DA PELE
89269;(SARTHAMUM TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOR/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) EXTRATO DE RAIZ;dentro
96366;(LARANJA AMARGA LIMÃO/FORSÍTIA SUSPENSA) FRUTA/EXTRATO DE RAIZ DE BAICALENS;CONDICIONAMENTO DA PELE
97164;(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) EXTRATO DE RAIZ;CONDICIONAMENTO DA PELE
